,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
126,"WAP (feat. Megan Thee Stallion)","Cardi B",885969,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
127,"Take Me To Church",Hozier,885288,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
128,"Little Bit of Love","Tom Grennan",884866,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
129,malibu,sangiovanni,876599,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
130,Whoopty,CJ,868769,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
131,"Lucid Dreams","Juice WRLD",863026,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
132,"Breaking Me",Topic,862066,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
133,Perfect,"Ed Sheeran",855517,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
134,"Martin & Gina","Polo G",849197,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
135,"What You Know Bout Love","Pop Smoke",844460,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
136,"Life Goes On",BTS,843011,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
137,Hawái,Maluma,841854,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
138,"My Head & My Heart","Ava Max",838940,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
139,"death bed (coffee for your head)",Powfu,833188,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
140,Riptide,"Vance Joy",832792,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
141,"Say You Won't Let Go","James Arthur",831403,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
142,"The Nights",Avicii,830336,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
143,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",828037,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
144,"Ella No Es Tuya - Remix","Rochy RD",822815,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
145,Yellow,Coldplay,822315,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
146,"Counting Stars",OneRepublic,821881,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
147,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",819166,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
148,"Prisoner (feat. Dua Lipa)","Miley Cyrus",819069,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
149,"Bohemian Rhapsody - Remastered 2011",Queen,818004,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
150,"Therefore I Am","Billie Eilish",814555,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
151,"Wake Me Up",Avicii,807211,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
152,"0X1=LOVESONG (I Know I Love you)","TOMORROW X TOGETHER",803246,https://open.spotify.com/track/3yTkoTuiKRGL2VAlQd7xsC
153,"TE MUDASTE","Bad Bunny",801997,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
154,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",798962,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
155,Loco,"Justin Quiles",796434,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
156,"Ride It",Regard,796112,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
157,"Smells Like Teen Spirit",Nirvana,795040,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
158,"Volta Bebê, Volta Neném","Dj Guuga",794749,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
159,"Never Left","Lil Tecca",793553,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
160,"Daddy Issues","The Neighbourhood",793175,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
161,"As the World Caves In","Matt Maltese",789013,https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD
162,"Solid (feat. Drake)","Young Stoner Life",787832,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
163,"One Dance",Drake,785410,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
164,"Dreams - 2004 Remaster","Fleetwood Mac",784804,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
165,"Break My Heart","Dua Lipa",781888,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
166,"All of Me","John Legend",780762,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
167,"my ex's best friend (with blackbear)","Machine Gun Kelly",780501,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
168,"GANG GANG (with Lil Wayne)","Polo G",778369,https://open.spotify.com/track/4VW44pawoOHPUjlN7DX5vk
169,"GIRL LIKE ME","Black Eyed Peas",777582,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
170,"a m a r i","J. Cole",770812,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
171,"7 rings","Ariana Grande",769224,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
172,You,Regard,769093,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
173,"Savage Love (Laxed - Siren Beat)","Jawsh 685",763789,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
174,Golden,"Harry Styles",760206,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
175,"Every Breath You Take","The Police",760191,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
176,"Just the Way You Are","Bruno Mars",759896,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
177,"The Box","Roddy Ricch",759545,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
178,"The Real Slim Shady",Eminem,758779,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
179,"HIGHEST IN THE ROOM","Travis Scott",754658,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
180,"Do I Wanna Know?","Arctic Monkeys",750510,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
181,"Rain On Me (with Ariana Grande)","Lady Gaga",747442,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
182,"Mr. Brightside","The Killers",747422,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
183,Anyone,"Justin Bieber",746184,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
184,"Jocelyn Flores",XXXTENTACION,745199,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
185,"Another One Bites The Dust - Remastered 2011",Queen,743134,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
186,"No Role Modelz","J. Cole",742338,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
187,"The Hills","The Weeknd",742073,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
188,"Laugh Now Cry Later (feat. Lil Durk)",Drake,740301,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
