,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
88,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1060466,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
89,"Ram Pam Pam","Natti Natasha",1058997,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
90,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1058317,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
91,"Roses - Imanbek Remix","SAINt JHN",1057161,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
92,"lovely (with Khalid)","Billie Eilish",1050483,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
93,"Dick (feat. Doja Cat)",StarBoi3,1050412,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
94,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,1047087,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
95,34+35,"Ariana Grande",1042020,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
96,"Hecha Pa' Mi",Boza,1027827,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
97,"Cover Me In Sunshine",P!nk,1015438,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
98,"you broke me first","Tate McRae",1014919,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
99,"Before You Go","Lewis Capaldi",1002364,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
100,"Another Love","Tom Odell",986110,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
101,Circles,"Post Malone",985533,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
102,Heather,"Conan Gray",982415,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
103,"Hats Off (feat. Travis Scott)","Lil Baby",979909,https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y
104,Believer,"Imagine Dragons",977787,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
105,"Paradise (feat. Dermot Kennedy)",MEDUZA,971954,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
106,"Good Days",SZA,969542,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
107,Reloj,"Rauw Alejandro",965080,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
108,"Follow You","Imagine Dragons",950066,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
109,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",947244,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
110,"Petrouchka (feat. PLK)","Soso Maness",945501,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E
111,"Our Song",Anne-Marie,927166,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn
112,Aloha,Maluma,926789,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
113,"Tell Em",Cochise,924003,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
114,"Wasted Love (feat. Lagique)",Ofenbach,922244,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
115,Bipolar,"Mc Davi",918372,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
116,"SUN GOES DOWN","Lil Nas X",900518,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
117,Señorita,"Shawn Mendes",898392,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
118,"bad guy","Billie Eilish",893765,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
119,Memories,"Maroon 5",890692,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
120,"Adore You","Harry Styles",883428,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
121,"Shape of You","Ed Sheeran",879670,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
122,"Take Me To Church",Hozier,878206,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
123,goosebumps,"Travis Scott",878043,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
124,Shallow,"Lady Gaga",873590,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
125,"WAP (feat. Megan Thee Stallion)","Cardi B",870865,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
126,"Little Bit of Love","Tom Grennan",863117,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
127,"Lucid Dreams","Juice WRLD",851296,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
128,"0X1=LOVESONG (I Know I Love you)","TOMORROW X TOGETHER",849971,https://open.spotify.com/track/3yTkoTuiKRGL2VAlQd7xsC
129,Whoopty,CJ,849662,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
130,malibu,sangiovanni,847648,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
131,Perfect,"Ed Sheeran",845869,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
132,"Don't fight the feeling",EXO,842827,https://open.spotify.com/track/42fR3oINF3KfXCDtheoNiY
